"names","scores","logfoldchanges","pvals","pvals_adj","group"
"Dhrs7",5.6975083,0.6045419,1.54772373669178e-08,3.55600959539302e-08,"natural killer cell"
"Crlf3",5.6886687,0.6103767,1.62629492534344e-08,3.73283621693423e-08,"natural killer cell"
"Prkab1",5.688342,0.8759512,1.63448403084923e-08,3.75039594419848e-08,"natural killer cell"
"1810009A15Rik",5.6829267,0.5495033,1.68194760476007e-08,3.85866720597643e-08,"natural killer cell"
"Eif4a3",5.682152,0.53971916,1.68817980187874e-08,3.87232674607909e-08,"natural killer cell"
"BC017643",5.675801,0.7147767,1.75207598327519e-08,4.01624399196015e-08,"natural killer cell"
"Vps36",5.669079,0.6629322,1.82118797620117e-08,4.1726066189428e-08,"natural killer cell"
"Xlr4b",5.66204,1.4547659,1.9009468502374e-08,4.35319643068842e-08,"natural killer cell"
"Mta2",5.6606483,0.63575506,1.90944413578632e-08,4.37193615366469e-08,"natural killer cell"
"Tbc1d10b",5.659051,1.0437346,1.93201085106204e-08,4.42142414230392e-08,"natural killer cell"
"Ppp1r9b",5.6570544,0.83180344,1.95100677935946e-08,4.46342898528563e-08,"natural killer cell"
"1110034G24Rik",5.656866,1.0951365,1.95533538627849e-08,4.47259676509742e-08,"natural killer cell"
"Slfn8",5.6515665,1.1099312,2.01392412681487e-08,4.60283003930221e-08,"natural killer cell"
"Chkb",5.651268,0.9501027,2.01703620581294e-08,4.60858943653308e-08,"natural killer cell"
"Wtap",5.635786,0.5498989,2.19623883523617e-08,5.0121050533316e-08,"natural killer cell"
"Fbxl8",5.629542,1.3988835,2.28476064822152e-08,5.21070658320639e-08,"natural killer cell"
"Tnk2",5.627117,1.1702282,2.31512547382834e-08,5.27736396285645e-08,"natural killer cell"
"Wdyhv1",5.619776,1.1859344,2.4125609425671e-08,5.49676937503708e-08,"natural killer cell"
"Bcl2l11",5.6169715,0.8329758,2.44555218726835e-08,5.57102470937043e-08,"natural killer cell"
"Prpsap1",5.6059723,0.6910846,2.60041065497714e-08,5.9150844326694e-08,"natural killer cell"
"Heatr2",5.603281,1.8568679,2.65189901519483e-08,6.02727937804526e-08,"natural killer cell"
"Arhgap26",5.5965824,1.2860073,2.7493635334825e-08,6.245739188905e-08,"natural killer cell"
"Gfod1",5.5941105,2.0654154,2.79252131035422e-08,6.34067675117291e-08,"natural killer cell"
"Mrp63",5.592793,0.50690454,2.79875185450826e-08,6.35378743747708e-08,"natural killer cell"
