symbol	Reference	species	m	gene_name	ensembl	models	Layer1	Layer2	Layer3	Layer4	Layer5	Layer6	WM	p_value	fdr	t_stat	log_fc	rank	mean_expr	best_gene_m	best_gene_name	best_gene_ensembl	best_gene_p_value	best_gene_fdr	best_gene_t_stat	best_gene_log_fc	best_gene_mean_expr
B3galt2	Zeng	MH	1809	B3GALT2	ENSG00000162630	Layer5+Layer6	0	0	0	0	1	1	0	1.76E-13	1.97E-10	8.92075866	1.311801013	20	6.599641986	8095	ETV1	ENSG00000006468	1.30E-22	2.91E-18	13.87646383	1.220289321	6.076554195
Cbln2	Zeng	MH	19327	CBLN2	ENSG00000141668	Layer2+Layer3+Layer6	0	1	1	0	0	1	0	3.63E-13	9.02E-10	8.756936619	0.8492353064	9	6.946327731	19400	FKBP1A	ENSG00000088832	3.75E-18	8.37E-14	11.38558983	0.6766595516	9.159392026
Rxfp1	Zeng	MH	5706	RXFP1	ENSG00000171509	Layer5+Layer6	0	0	0	0	1	1	0	5.53E-13	5.37E-10	8.662525498	1.820542431	23	5.256375634	8095	ETV1	ENSG00000006468	1.30E-22	2.91E-18	13.87646383	1.220289321	6.076554195
Cdh24	Zeng	MH	15160	CDH24	ENSG00000139880	Layer6+WM	0	0	0	0	0	1	1	5.98E-13	6.36E-11	8.644166307	1.48598015	210	3.795750925	7750	CTGF	ENSG00000118523	9.37E-28	2.09E-23	17.01205069	1.952739147	5.641160131
Gabra5	Zeng	MH	15864	GABRA5	ENSG00000186297	Layer5+Layer6	0	0	0	0	1	1	0	1.17E-12	1.00E-09	8.493756525	0.7906198664	26	7.281153608	8095	ETV1	ENSG00000006468	1.30E-22	2.91E-18	13.87646383	1.220289321	6.076554195
Cartpt	Molyneaux	MH	6121	CARTPT	ENSG00000164326	Layer3	0	0	1	0	0	0	0	2.07E-12	4.63E-08	8.363742991	2.264233817	1	6.426823464	6121	CARTPT	ENSG00000164326	2.07E-12	4.63E-08	8.363742991	2.264233817	6.426823464
Oprk1	Zeng	H	10007	OPRK1	ENSG00000082556	Layer6	0	0	0	0	0	1	0	2.97E-12	9.48E-09	8.282525813	1.86671771	7	3.457673478	16311	ISLR	ENSG00000129009	7.84E-15	1.75E-10	9.623818433	1.583994202	5.623719162
Rprm	Zeng	MH	3175	RPRM	ENSG00000177519	Layer5+Layer6	0	0	0	0	1	1	0	3.69E-12	2.66E-09	8.23465396	1.408638961	31	5.046819218	8095	ETV1	ENSG00000006468	1.30E-22	2.91E-18	13.87646383	1.220289321	6.076554195
Cacna1e	Zeng	H	1758	CACNA1E	ENSG00000198216	Layer2+Layer3+Layer6	0	1	1	0	0	1	0	5.21E-12	7.75E-09	8.156455078	0.6515966027	15	6.482982396	19400	FKBP1A	ENSG00000088832	3.75E-18	8.37E-14	11.38558983	0.6766595516	9.159392026
Fezf2	Molyneaux	MH	4268	FEZF2	ENSG00000153266	Layer5+Layer6	0	0	0	0	1	1	0	5.50E-12	3.51E-09	8.144296673	1.977457809	35	4.615502587	8095	ETV1	ENSG00000006468	1.30E-22	2.91E-18	13.87646383	1.220289321	6.076554195
Htr2c	Zeng	H	9478	HTR2C	ENSG00000147246	Layer5	0	0	0	0	1	0	0	1.01E-11	3.76E-08	8.006514546	2.167454777	6	2.429592161	22225	PCP4	ENSG00000183036	1.81E-19	4.05E-15	12.10214777	1.875983047	8.23855287
Pde1a	Zeng	MH	3346	PDE1A	ENSG00000115252	Layer4+Layer5+Layer6	0	0	0	1	1	1	0	1.40E-11	3.20E-09	7.933246543	0.6942785781	98	6.720999909	13893	TUBA1B	ENSG00000123416	1.23E-18	1.54E-14	11.65083162	0.6178376284	12.14362755
Vat1l	Zeng	MH	17496	VAT1L	ENSG00000171724	Layer5	0	0	0	0	1	0	0	1.91E-11	6.09E-08	7.862879972	1.473146385	7	5.774619139	22225	PCP4	ENSG00000183036	1.81E-19	4.05E-15	12.10214777	1.875983047	8.23855287
Gsg1L	Zeng	MH	17003	GSG1L	ENSG00000169181	Layer2+Layer3+Layer6	0	1	1	0	0	1	0	1.16E-10	9.55E-08	7.454666114	0.8707630695	27	4.989432484	19400	FKBP1A	ENSG00000088832	3.75E-18	8.37E-14	11.38558983	0.6766595516	9.159392026
C1ql2	Zeng	H	3040	C1QL2	ENSG00000144119	Layer2	0	1	0	0	0	0	0	1.38E-10	2.15E-07	7.413754068	2.65914671	14	5.401038195	15403	DACT1	ENSG00000165617	4.68E-15	1.04E-10	9.74141057	2.160282047	4.030209593
mef2c	Molyneaux	MH	6227	MEF2C	ENSG00000081189	Layer2+Layer3+Layer4	0	1	1	1	0	0	0	2.41E-10	5.97E-08	7.287133537	0.6162059347	90	9.278114482	8315	VSTM2A	ENSG00000170419	1.03E-17	2.30E-13	11.14812183	1.008219378	7.439451534
Etv1	Molyneaux	MH	8095	ETV1	ENSG00000006468	Layer5	0	0	0	0	1	0	0	5.79E-10	1.08E-06	7.086524278	1.155235097	12	6.076554195	22225	PCP4	ENSG00000183036	1.81E-19	4.05E-15	12.10214777	1.875983047	8.23855287
Bhlhe22	Molyneaux	MH	10061	BHLHE22	ENSG00000180828	Layer2+Layer3+Layer4+Layer5	0	1	1	1	1	0	0	1.15E-09	4.26E-08	6.930237319	1.563982767	601	3.732510313	16941	CRYM	ENSG00000103316	1.48E-24	3.31E-20	15.0262641	0.9429305183	8.640983059
Sema3e	Molyneaux	MH	8434	SEMA3E	ENSG00000170381	Layer5+Layer6	0	0	0	0	1	1	0	1.62E-09	4.70E-07	6.850373847	2.212342814	77	4.5333594	8095	ETV1	ENSG00000006468	1.30E-22	2.91E-18	13.87646383	1.220289321	6.076554195
Trib2	Zeng	MH	2333	TRIB2	ENSG00000071575	Layer4+Layer5	0	0	0	1	1	0	0	1.98E-09	4.74E-07	6.803981847	0.5832609826	93	6.045254681	19721	PTPRT	ENSG00000196090	1.46E-18	3.25E-14	11.60892309	0.9422860885	6.441315019
Kcnip2	Zeng	MH	13247	KCNIP2	ENSG00000120049	Layer2+Layer3	0	1	1	0	0	0	0	3.46E-09	5.73E-07	6.674044434	0.9502207251	135	6.454059472	6121	CARTPT	ENSG00000164326	5.55E-19	1.24E-14	11.8347748	2.183571906	6.426823464
kitlg	Molyneaux	MH	14273	KITLG	ENSG00000049130	Layer2+Layer3+Layer4	0	1	1	1	0	0	0	3.89E-09	4.82E-07	6.647341767	0.7245887287	180	5.462805685	8315	VSTM2A	ENSG00000170419	1.03E-17	2.30E-13	11.14812183	1.008219378	7.439451534
Slitrk1	Molyneaux	MH	14969	SLITRK1	ENSG00000178235	Layer2+Layer3+Layer6	0	1	1	0	0	1	0	4.54E-09	1.59E-06	6.611296253	0.5332620058	63	6.661500381	19400	FKBP1A	ENSG00000088832	3.75E-18	8.37E-14	11.38558983	0.6766595516	9.159392026
Scn3b	Zeng	H	12519	SCN3B	ENSG00000166257	Layer2+Layer3+Layer6	0	1	1	0	0	1	0	1.04E-08	2.94E-06	6.418056301	0.4415199548	79	8.906394707	19400	FKBP1A	ENSG00000088832	3.75E-18	8.37E-14	11.38558983	0.6766595516	9.159392026
Kcnk2	Zeng	MH	1997	KCNK2	ENSG00000082482	Layer5+Layer6	0	0	0	0	1	1	0	1.05E-08	2.19E-06	6.416431036	1.437960475	107	3.461970998	8095	ETV1	ENSG00000006468	1.30E-22	2.91E-18	13.87646383	1.220289321	6.076554195
Synpr	Zeng	H	4271	SYNPR	ENSG00000163630	Layer6	0	0	0	0	0	1	0	1.23E-08	9.49E-06	6.37823834	0.7189917694	29	8.062586165	16311	ISLR	ENSG00000129009	7.84E-15	1.75E-10	9.623818433	1.583994202	5.623719162
Cck	Zeng	MH	3990	CCK	ENSG00000187094	Layer2+Layer3+Layer6	0	1	1	0	0	1	0	1.37E-08	3.68E-06	6.35387273	0.5555126464	83	11.70606098	19400	FKBP1A	ENSG00000088832	3.75E-18	8.37E-14	11.38558983	0.6766595516	9.159392026
Fam3c	Zeng	MH	8712	FAM3C	ENSG00000196937	Layer2+Layer4+Layer5	0	1	0	1	1	0	0	2.43E-08	2.59E-05	6.218473024	0.5161281232	21	8.38240342	22225	PCP4	ENSG00000183036	1.92E-12	4.29E-08	8.381468904	1.181177398	8.23855287
Anxa1	Zeng	H	10823	ANXA1	ENSG00000135046	Layer6	0	0	0	0	0	1	0	2.43E-08	1.70E-05	6.218007588	0.9823231025	31	5.17482814	16311	ISLR	ENSG00000129009	7.84E-15	1.75E-10	9.623818433	1.583994202	5.623719162
Fxyd6	Zeng	MH	12440	FXYD6	ENSG00000137726	Layer2+Layer3+Layer5+Layer6	0	1	1	0	1	1	0	9.20E-08	7.56E-06	5.902141103	0.3007361555	271	10.09738153	16123	ARPP19	ENSG00000128989	1.69E-15	3.77E-11	9.975362725	0.4744671465	10.72037601
Rasgrf2	Zeng	MH	6199	RASGRF2	ENSG00000113319	Layer2	0	1	0	0	0	0	0	1.05E-07	3.22E-05	5.869480303	1.166760136	73	7.066857688	15403	DACT1	ENSG00000165617	4.68E-15	1.04E-10	9.74141057	2.160282047	4.030209593
