"names","scores","logfoldchanges","pvals","pvals_adj","group"
"LOC105878774",17.880821,1.0353016,1.73001083390484e-69,1.00610762948519e-68,"B cell"
"LOC105861013",17.85035,1.0227028,2.77456882537211e-69,1.61031293274359e-68,"B cell"
"RPL11",17.846193,5.5166016,2.91115656389473e-69,1.68927499395505e-68,"B cell"
"LOC109729574",17.826017,0.87142986,4.3579217312606e-69,2.52322226810529e-68,"B cell"
"TOB2",17.529587,1.0592309,7.22628994816696e-67,4.1166727531512e-66,"B cell"
"ZNF706",17.30654,0.96905303,2.28629796006568e-65,1.28595077514654e-64,"B cell"
"LOC109729687",17.282492,1.1607524,4.39482035405428e-65,2.4648699632591e-64,"B cell"
"LOC105882743",17.184658,3.064671,2.60640214817042e-64,1.45046141445959e-63,"B cell"
"CCR7",17.115868,2.0419943,6.94642495983538e-64,3.85343140949741e-63,"B cell"
"LBH",17.070831,1.0552938,1.26244188727232e-63,6.99336874579175e-63,"B cell"
"SLC9A7",17.068308,2.4802027,1.65910656711466e-63,9.18587046621256e-63,"B cell"
"SEPT1",17.017654,0.81533045,3.07733748089857e-63,1.7008213766994e-62,"B cell"
"LOC105886009",16.966015,3.8163445,9.10541155065845e-63,5.00527586443994e-62,"B cell"
"RPL13",16.954016,7.4168925,7.12841463271989e-63,3.92261992075395e-62,"B cell"
"SHISA8",16.89455,4.161582,2.87678750571185e-62,1.57670373138763e-61,"B cell"
"ATP13A2",16.891872,1.6107674,2.72945511408655e-62,1.49647470314517e-61,"B cell"
"MX1",16.879436,1.5013206,3.10653579838069e-62,1.70203158530998e-61,"B cell"
"RPL19",16.84497,4.368347,4.29889174940204e-62,2.35203646695449e-61,"B cell"
"C26H4orf26",16.687748,4.6747165,7.7860307878537e-61,4.21312114192825e-60,"B cell"
"ELL3",16.646557,2.885672,1.45891357080446e-60,7.87678336231625e-60,"B cell"
"FCRL2",16.633612,4.2802486,1.83148691279387e-60,9.88325417626685e-60,"B cell"
"CARMIL2",16.626633,2.3206687,1.94315737281423e-60,1.04804768332769e-59,"B cell"
"TSPAN3",16.609531,0.92182606,2.11135827036734e-60,1.13798815841609e-59,"B cell"
"ITGA4",16.597904,1.4495549,2.86276237522988e-60,1.54113753085799e-59,"B cell"
"KIAA0922",16.589396,1.3533859,3.35252825736068e-60,1.80387317044361e-59,"B cell"
"ZNF608",16.46872,2.763511,2.38960252533563e-59,1.27725167041222e-58,"B cell"
"JMJD1C",16.440262,0.8697796,3.1766096745498e-59,1.69618359998966e-58,"B cell"
"EBAG9",16.406809,1.5332956,5.87483910634385e-59,3.13056494844898e-58,"B cell"
"PFDN5",16.385015,0.85411453,6.20065953565824e-59,3.30251151638025e-58,"B cell"
"ELMO1",16.35732,1.8692793,1.30403882500452e-58,6.92782993374936e-58,"B cell"
"LOC105882401",16.357285,1.0851793,1.10143965315785e-58,5.8564397622934e-58,"B cell"
"LNPEP",16.301315,1.4448128,3.01011850207348e-58,1.59244163669969e-57,"B cell"
"LOC105859117",16.28741,1.8846372,2.37653071278983e-58,1.25915766317967e-57,"B cell"
