DepMap_ID,stripped_cell_line_name,CCLE_Name,sex,primary_disease,Subtype,lineage.x,lineage_subtype,lineage_sub_subtype,lineage.y,1st_rank_DEG,2nd_rank_DEG,3rd_rank_DEG,4th_rank_DEG,5th_rank_DEG,6th_rank_DEG,7th_rank_DEG,8th_rank_DEG,9th_rank_DEG,10th_rank_DEG
ACH-000706,EKVX,EKVX_LUNG,Male,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",lung,NSCLC,NSCLC_adenocarcinoma,lung,CYP24A1,TFPI2,DIRAS3,AKR1C2,KRT81,MMP7,CXCL5,MAGEA4,PPBP,TCIM
ACH-000707,P3HR1,P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Male,Lymphoma,"B-cell, Non-Hodgkins, Burkitts",lymphocyte,non_hodgkin_lymphoma,b_cell_burkitt,lymphocyte,JCHAIN,IRAG2,CD79A,TCL1A,CD79B,VPREB3,IGLL5,CD22,MS4A1,CD53
ACH-000708,SNU283,SNU283_LARGE_INTESTINE,Female,Colon/Colorectal Cancer,Adenocarcinoma,colorectal,colorectal_adenocarcinoma,,colorectal,PLA2G2A,LGALS4,PHGR1,CEACAM5,OLFM4,FABP1,TFF3,PPP1R1B,VIL1,TSPAN8
ACH-000709,KMRC2,KMRC2_KIDNEY,Male,Kidney Cancer,"Renal Carcinoma, clear cell",kidney,renal_cell_carcinoma,clear_cell,kidney,GAL3ST1,FXYD2,UGT1A9,SPP1,TGFBI,FN1,IGFBP3,ANGPTL4,HAVCR1,VCAN
ACH-000710,NCIH854,NCIH854_LUNG,Male,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",lung,NSCLC,NSCLC_adenocarcinoma,lung,TFF1,TFF3,MUC2,NTS,REG4,PHGR1,CHGB,AZGP1,PRSS2,TM4SF5
ACH-000711,JIMT1,JIMT1_BREAST,Female,Breast Cancer,Breast Ductal Carcinoma,breast,breast_ductal_carcinoma,ERneg_HER2pos,breast,FAM25C,FAM25G,ARL14EPL,KLK5,GJA5,MAGEC2,TACSTD2,BARX1,MGAM,VGLL1
ACH-000712,HCC1833,HCC1833_LUNG,Female,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",lung,NSCLC,NSCLC_adenocarcinoma,lung,ASCL1,TM4SF4,PCSK1,CHGB,CGA,NTS,SST,PDK4,VGF,SCG2
ACH-000713,CAOV3,CAOV3_OVARY,Female,Ovarian Cancer,"Adenocarcinoma, high grade serous",ovary,ovary_adenocarcinoma,high_grade_serous,ovary,MT1G,SPOCK2,KLK5,MT1H,RARRES2,SPINK6,STEAP4,MFAP5,KRT81,MT1M
ACH-000715,SNU1214,SNU1214_UPPER_AERODIGESTIVE_TRACT,Male,Head and Neck Cancer,"Squamous Cell Carcinoma, laryngeal",upper_aerodigestive,upper_aerodigestive_squamous,laryngeal,upper_aerodigestive,KRT14,KRT5,CXCL14,KRT6A,KRT17,KRT16,SPRR1B,SPINK6,FGFBP1,KRT6B
ACH-000716,TT2609C02,TT2609C02_THYROID,Male,Thyroid Cancer,"Carcinoma, follicular",thyroid,thyroid_carcinoma,follicular,thyroid,TFPI2,GPR183,NEFL,RPS4Y1,ANKRD1,FCER1G,CXCL1,INHBA,GNG11,SULF1
ACH-000717,COLO680N,COLO680N_OESOPHAGUS,Female,Esophageal Cancer,Squamous Cell Carcinoma,esophagus,esophagus_squamous,,esophagus,ALPP,OLR1,KRT13,ALPG,SERPINA3,WFDC2,LCN2,KRT5,KRT17,CDH3
